"family","genus","name","description"
"Juglandaceae","Carya","aquatica","description"
"Juglandaceae","Carya","carolinae-septentrionalis","description"
"Juglandaceae","Carya","cordiformis","description"
"Juglandaceae","Carya","floridana","description"
"Juglandaceae","Carya","glabra","description"
"Juglandaceae","Carya","illinoinensis","description"
"Juglandaceae","Carya","laciniosa","description"
"Juglandaceae","Carya","myristiciformis","description"
"Juglandaceae","Carya","ovalis","description"
"Juglandaceae","Carya","ovata","description"
"Juglandaceae","Carya","pallida","description"
"Juglandaceae","Carya","texana","description"
"Juglandaceae","Carya","tomentosa","description"
"Juglandaceae","Juglans","nigra","description"
"Juglandaceae","Juglans","cinerea","description"